soc_code,growth_pct
49-9064,-29.7
49-9069,2.1
49-9071,7.9
49-9081,96.3
49-9090,6.1
49-9091,-12.5
49-9092,10.8
49-9093,-7.3
49-9094,-3.3
49-9095,-8.9
49-9096,9.8
49-9097,1.3
49-9098,11.1
49-9099,8.2
51-0000,-4.3
51-1000,-0.3
51-1011,-0.3
51-2000,-14.4
51-2011,-17.4
51-2020,-20.9
51-2021,-20.7
51-2022,-20.8
51-2023,-21.4
51-2031,-17.2
51-2041,-15.3
51-2090,-12.9
51-2091,-1.5
51-2092,-12.8
51-2093,-20.1
51-2099,-14
51-3000,3.7
51-3011,7.6
51-3020,2.6
51-3021,5.8
51-3022,0.9
51-3023,0.6
51-3090,2.5
51-3091,-0.8
51-3092,1.7
51-3093,2.5
51-3099,6.5
51-4000,-3.5
51-4010,3.3
51-4011,1.1
51-4012,16.3
51-4020,-15.3
51-4021,-15.2
51-4022,-19.2
51-4023,-12.9
51-4030,-10
51-4031,-8.7
51-4032,-19.5
51-4033,-10.3
51-4034,-8.4
51-4035,-19.3
51-4041,2
51-4050,-13.1
51-4051,-8.1
51-4052,-23.4
51-4060,-13.3
51-4061,-12.2
51-4062,-15.5
51-4070,-15.7
51-4071,-24
51-4072,-15
51-4081,-2.7
51-4111,-7.2
51-4120,3.9
51-4121,5.6
51-4122,-10.2
51-4190,-10.5
51-4191,-14.2
51-4192,-6.9
51-4193,-13.8
51-4194,-3.5
51-4199,-6.7
51-5100,-11.9
51-5111,-19.9
51-5112,-10.4
51-5113,-12
51-6000,-8.3
51-6011,-0.2
51-6021,-6.7
51-6031,-16.7
51-6040,-11.2
51-6041,-11.7
51-6042,-9.5
51-6050,-11
51-6051,-13.7
51-6052,-10.1
51-6060,-17.5
51-6061,-18.1
51-6062,-15.8
51-6063,-19.3
51-6064,-16.8
51-6090,-4
51-6091,-9.5
51-6092,-16.1
51-6093,0.3
51-6099,-4.1
51-7000,1.2
51-7011,2.3
51-7021,-0.4
51-7030,3.1
51-7031,3
51-7032,3.3
51-7040,0.2
51-7041,-0.3
51-7042,0.6
51-7099,3.6
51-8000,-1.4
51-8010,-1
51-8011,-10.2
51-8012,-2.5
51-8013,1.3
51-8021,4.8
51-8031,-3.2
51-8090,-1.6
51-8091,-9.2
51-8092,0
51-8093,2.8
51-8099,1.9
51-9000,-0.7
51-9010,-3
51-9011,-5
51-9012,0.1
51-9020,-6.2
51-9021,-6.7
51-9022,-20.5
51-9023,-3.1
51-9030,-5.1
51-9031,-10.1
51-9032,-4
51-9041,-5.4
51-9051,-5.2
51-9061,-10.7
51-9071,-6.7
51-9080,13.4
51-9081,14.4
51-9082,13.6
51-9083,11.8
51-9111,1.7
51-9120,2.4
51-9121,0
51-9122,6.6
51-9123,0.9
51-9141,-5.6
51-9151,-18.1
51-9190,5.4
51-9191,-2.7
51-9192,0.4
51-9193,1.4
51-9194,0.6
51-9195,-2.3
51-9196,-9
51-9197,-12.1
51-9198,11.6
51-9199,4.4
53-0000,6.2
53-1000,7.5
53-1011,5.9
53-1021,8.5
53-1031,6.6
53-2000,6.5
53-2010,3.5
53-2011,3.4
53-2012,3.8
53-2020,4.9
53-2021,3.5
53-2022,8.8
53-2031,10.2
53-3000,5.3
53-3011,21.9
53-3020,6.3
53-3021,9
53-3022,5.4
53-3030,5
53-3031,-1.5
53-3032,5.8
53-3033,6.5
53-3041,5
53-3099,10.3
53-4000,-1.9
53-4010,-4.1
53-4011,-2.8
53-4012,-78.6
53-4013,3.7
53-4021,-1.6
53-4031,-2.1
53-4041,4.1
53-4099,3.1
53-5000,8
53-5011,7.6
53-5020,8.7
53-5021,8.8
53-5022,7.6
53-5031,6.5
53-6000,7.9
53-6011,4.9
53-6021,6.2
53-6031,10.6
53-6041,9.1
53-6051,5.9
53-6061,8.4
53-6099,8.3
53-7000,6.9
53-7011,-1.2
53-7021,8.6
53-7030,7.4
53-7031,5
53-7032,8.1
53-7033,-3.5
53-7041,-0.7
53-7051,6.6
53-7060,6.7
53-7061,10.7
53-7062,7.6
53-7063,1.8
53-7064,1.8
53-7070,15.6
53-7071,3.4
53-7072,13.8
53-7073,21.7
53-7081,13.2
53-7111,-21.9
53-7121,5.2
53-7199,9.3
